情景,扰动变量,扰动比例,达峰年份,达峰年份变化,峰值_Mt,峰值变化_Mt,2045年_Mt,2045变化_Mt,2045较峰值下降比例
低碳情景,城镇化率年变化,-0.2,2026.0,0.0,11947.208545043663,-11.324078239857045,8842.680335008388,-59.83801520113411,0.25985385609789136
低碳情景,城镇化率年变化,-0.1,2026.0,0.0,11952.869243118002,-5.663380165517083,8872.548898002711,-29.969452206811184,0.2577055167644221
低碳情景,城镇化率年变化,0.1,2027.0,1.0,11964.921976747744,6.389353464224769,8932.589032409658,30.070682200135707,0.2534352459824667
低碳情景,城镇化率年变化,0.2,2027.0,1.0,11973.282423388244,14.749800104724272,8962.76128653499,60.24293632546687,0.2514365760697831
强化低碳情景,人口增长率,-0.2,2024.0,0.0,11901.436668,0.0,7147.829401547078,33.84903887888231,0.3994145748163487
强化低碳情景,人口增长率,-0.1,2024.0,0.0,11901.436668,0.0,7130.886381300766,16.906018632569612,0.40083818616
强化低碳情景,人口增长率,0.1,2024.0,0.0,11901.436668,0.0,7097.111271679728,-16.869090988468088,0.4036760880506054
强化低碳情景,人口增长率,0.2,2024.0,0.0,11901.436668,0.0,7080.279034500061,-33.70132816813475,0.40509039101664357
强化低碳情景,人均GDP增长率,-0.2,2024.0,0.0,11901.436668,0.0,6713.976929992471,-400.003432675725,0.4358683646954419
强化低碳情景,人均GDP增长率,-0.1,2024.0,0.0,11901.436668,0.0,6911.4009792917295,-202.57938337646647,0.4192801111251748
强化低碳情景,人均GDP增长率,0.1,2024.0,0.0,11901.436668,0.0,7321.832957727762,207.85259505956583,0.3847941923335737
强化低碳情景,人均GDP增长率,0.2,2024.0,0.0,11901.436668,0.0,7535.07895966944,421.09859700124434,0.3668765234091955
强化低碳情景,煤炭占比下降速度,-0.2,2025.0,1.0,11905.491573222334,4.054905222334128,8301.563183932307,1187.5828212641109,0.30271143086573027
强化低碳情景,煤炭占比下降速度,-0.1,2024.0,0.0,11901.436668,0.0,7684.865481577648,570.8851189094521,0.3542909401652039
强化低碳情景,煤炭占比下降速度,0.1,2024.0,0.0,11901.436668,0.0,6585.504550697617,-528.4758119705793,0.4466630597292175
强化低碳情景,煤炭占比下降速度,0.2,2024.0,0.0,11901.436668,0.0,6096.287588147487,-1017.6927745207086,0.48776876622476284
强化低碳情景,第二产业占比下降速度,-0.2,2024.0,0.0,11901.436668,0.0,7167.30795865451,53.32759598631401,0.39777791886876845
强化低碳情景,第二产业占比下降速度,-0.1,2024.0,0.0,11901.436668,0.0,7140.594377995691,26.6140153274946,0.4000224865965156
强化低碳情景,第二产业占比下降速度,0.1,2024.0,0.0,11901.436668,0.0,7087.465541577809,-26.51482109038716,0.4044865557589161
强化低碳情景,第二产业占比下降速度,0.2,2024.0,0.0,11901.436668,0.0,7061.0495450134495,-52.930817654746534,0.4067061194386008
强化低碳情景,城镇化率年变化,-0.2,2024.0,0.0,11901.436668,0.0,7078.087839733095,-35.892522935100715,0.40527450280315225
强化低碳情景,城镇化率年变化,-0.1,2024.0,0.0,11901.436668,0.0,7096.011407622015,-17.96895504618078,0.40376850244463147
强化低碳情景,城镇化率年变化,0.1,2024.0,0.0,11901.436668,0.0,7131.994819803778,18.014457135582234,0.4007450513113314
强化低碳情景,城镇化率年变化,0.2,2024.0,0.0,11901.436668,0.0,7150.054894251933,36.07453158373664,0.3992275811981044
