情景,年份,人口增长率,人均GDP增长率,煤炭占比年变化,第二产业占比年变化,城镇化率年变化,ΔlnP,ΔlnA,STIRPAT对数增长项,排放增长率
基准情景,2040,-0.00175,0.03075,-0.008499999999999952,-0.0016249999999999876,0.0020000000000000018,-0.001751533038806488,0.030286692604872392,-0.010747232579188885,-0.010689687410068593
基准情景,2041,-0.0018,0.0298,-0.00880000000000003,-0.0016999999999999793,0.0019000000000000128,-0.0018016219466282088,0.02936460862990398,-0.012161310770511705,-0.012087660892694863
基准情景,2042,-0.00185,0.02885,-0.009099999999999997,-0.0017750000000000266,0.0018000000000000238,-0.001851713363474291,0.028441673631303066,-0.01357577372752347,-0.013484038506121232
基准情景,2043,-0.0019000000000000002,0.027899999999999998,-0.009399999999999964,-0.0018500000000000183,0.0017000000000000348,-0.0019018072895963312,0.02751788603673928,-0.014990622158281527,-0.014878822129775315
基准情景,2044,-0.00195,0.026949999999999998,-0.009700000000000042,-0.00192500000000001,0.0016000000000000458,-0.001951903725245407,0.02659324426952072,-0.01640585677280663,-0.016272013641239202
基准情景,2045,-0.002,0.026,-0.010000000000000009,-0.0020000000000000018,0.0014999999999999458,-0.0020020026706731903,0.025667746748577813,-0.01782147828308994,-0.017663614916251458
低碳情景,2025,-0.001,0.043,-0.006000000000000005,-0.0010000000000000009,0.0030000000000000027,-0.0010005003335836456,0.042101176018635326,0.0032452785589664485,0.003250550176508993
低碳情景,2026,-0.00105,0.04205,-0.006399999999999961,-0.0010999999999999899,0.0029000000000000137,-0.0010505516361790162,0.04118992682486248,0.001540650841773529,0.0015418382539993392
低碳情景,2027,-0.0011,0.0411,-0.006800000000000028,-0.0011999999999999789,0.0028000000000000247,-0.0011006054440330039,0.04027784649857008,-0.00016435268330035379,-0.00016433917813796217
低碳情景,2028,-0.00115,0.04015,-0.007199999999999984,-0.0013000000000000234,0.0027000000000000357,-0.001150661757395972,0.03936493352225459,-0.0018697326996267483,-0.0018679858383335857
低碳情景,2029,-0.0012000000000000001,0.0392,-0.007600000000000051,-0.0014000000000000123,0.0026000000000000467,-0.001200720576518988,0.038451186374252634,-0.0035754898924516823,-0.0035691054399147326
