情景,年份,预测CO2_Mt,预测GDP_亿元,碳排放强度_吨每万元GDP,人口_万人,人均GDP_万元每人,煤炭相关排放占比,第二产业占比,城镇化率,STIRPAT对数增长项
强化低碳情景,2024,11901.436668,1349083.54627817,0.8821867778932959,140828.0,9.579654232668007,0.639,0.399559288308554,0.652410637147876,0.0
强化低碳情景,2025,11851.752632515383,1402991.5757038991,0.844748666902665,140687.172,9.972420056207394,0.631,0.39755928830855397,0.6549106371478759,-0.004183363110871533
强化低碳情景,2026,11778.345167801135,1457612.768318406,0.8080572168278531,140535.9332901,10.3718154794585,0.6225,0.395409288308554,0.6573106371478759,-0.0062130678827738645
强化低碳情景,2027,11681.6535485552,1512863.6313179622,0.7721550909633863,140374.31696681638,10.777353464705326,0.6135,0.39310928830855396,0.6596106371478758,-0.008243151922305805
强化低碳情景,2028,11562.255103780168,1568655.4191136477,0.7370806209507311,140202.35842853202,11.188509499383834,0.6040000000000001,0.39065928830855395,0.6618106371478758,-0.01027361591717409
强化低碳情景,2029,11420.85947431296,1624894.2884837592,0.7028678453273491,140020.09536257494,11.604722052760911,0.5940000000000001,0.38805928830855396,0.6639106371478758,-0.012304460556974022
强化低碳情景,2030,11258.301586367701,1681481.4859699386,0.6695465683271268,139827.5677314514,12.025393227173494,0.5835000000000001,0.385309288308554,0.6659106371478758,-0.014335686533194242
强化低碳情景,2031,11075.53343844982,1738313.5676401614,0.6371424376262191,139624.8177582408,12.449889608092716,0.5725000000000001,0.382409288308554,0.6678106371478758,-0.01636729453922569
强化低碳情景,2032,10873.614814696948,1795282.651114601,0.605677039654233,139411.88991115947,12.877543316130703,0.5610000000000002,0.379359288308554,0.6696106371478758,-0.01839928527036652
强化低碳情景,2033,10653.703051399472,1852276.6995151697,0.5751680110314005,139188.8308873016,13.30765326288947,0.5490000000000002,0.376159288308554,0.6713106371478759,-0.02043165942383136
强化低碳情景,2034,10417.041994928164,1909179.8367580932,0.5456291646478392,138955.68959556537,13.739486611270236,0.5365000000000002,0.372809288308554,0.6729106371478759,-0.0224644176987557
强化低碳情景,2035,10164.950298371989,1965872.6933631455,0.5170706288707918,138712.51713877314,14.172280439525249,0.5235000000000002,0.369309288308554,0.6744106371478759,-0.02449756079620638
强化低碳情景,2036,9898.80921074211,2022232.7817053243,0.4894989983494662,138459.3667949949,14.605243606952746,0.5100000000000002,0.365659288308554,0.6758106371478758,-0.026531089419184688
强化低碳情景,2037,9620.050016555635,2078134.8993869186,0.4629174948841721,138196.29399808438,15.037558817718548,0.4960000000000002,0.36185928830855396,0.6771106371478758,-0.028565004272637397
强化低碳情景,2038,9330.141284956919,2133451.559162452,0.4373261368362043,137923.35631743819,15.468384877846185,0.4815000000000002,0.35790928830855395,0.6783106371478758,-0.030599306063460407
强化低碳情景,2039,9030.576086298946,2188053.443608182,0.412721915576577,137640.61343698745,15.896859138962526,0.4665000000000002,0.35380928830855396,0.6794106371478758,-0.03263399550050926
强化低碳情景,2040,8722.85933037784,2241809.882494099,0.3890989775044317,137348.12713343385,16.322100120929775,0.4510000000000002,0.349559288308554,0.6804106371478758,-0.03466907329460387
强化低碳情景,2041,8408.495374422178,2294589.3505920293,0.3664488102087938,137045.9612537403,16.743210304049764,0.43500000000000016,0.34515928830855397,0.6813106371478758,-0.036704540158537025
强化低碳情景,2042,8088.976040662171,2346259.983440946,0.3447604313993861,136734.18169188805,17.159279080105403,0.41850000000000015,0.34060928830855397,0.6821106371478758,-0.03874039680708117
强化低碳情景,2043,7765.769173056115,2396690.1083921283,0.3240205792924122,136412.85636491212,17.56938585011992,0.40150000000000013,0.335909288308554,0.6828106371478758,-0.040776643956996345
强化低碳情景,2044,7440.307850780429,2445748.788074757,0.30421390320455954,136082.0551882272,17.972603255380175,0.3840000000000001,0.33105928830855397,0.6834106371478759,-0.042813282327036926
强化低碳情景,2045,7113.980362668196,2493306.3732588706,0.2853231531819286,135741.85005025665,18.36800052699854,0.3660000000000001,0.32605928830855396,0.6839106371478758,-0.04485031263795936
